text	demotion_count
gitattributes	0
github	0
gitignore	0
javascript	0
Javascript	0
readme	0
README	0
cloudflare	1
Cloudflare	1
dataframe	1
Dataframe	1
devops	1
DevOps	1
docstring	1
Docstring	1
powershell	1
PowerShell	1
pyproject	1
rustacean	1
Rustacean	1
websocket	1
WebSocket	1
rustaceans	2
Rustaceans	2
kubernetes	8
Kubernetes	8
